"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name","year"
1,60,"Абаза",90.0946195742823,52.6346490370383,15.1,6,"условно комфортный климат",29,28,23,19,17,33,149,"https://api.индекс-городов.рф/uploads/city/emblem/1/thumb_1_Abaza.png","Республика Хакасия","Малый город",2018
2,36,"Абдулино",53.6745983659175,53.6785240816437,18.8,6,"условно комфортный климат",29,17,10,17,15,35,123,"https://api.индекс-городов.рф/uploads/city/emblem/2/thumb_2_Abdulino.png","Оренбургская область","Малый город",2018
3,53,"Армянск",33.6933797253254,46.1133330799504,21.6,6,"условно комфортный климат",30,26,38,23,21,28,166,"https://api.индекс-городов.рф/uploads/city/emblem/32/thumb_32_armyansk.png","Республика Крым","Малый город",2018
4,51,"Беломорск",34.7772143994881,64.5250906471825,9.5,6,"тяжелые климатические условия",14,34,34,30,17,34,163,"https://api.индекс-городов.рф/uploads/city/emblem/63/thumb_63_belomorsk.png","Республика Карелия","Малый город",2018
5,16,"Белоусово",36.6695461166347,55.0926529525368,9.8,6,"условно комфортный климат",35,29,28,32,19,31,174,"https://api.индекс-городов.рф/uploads/city/emblem/64/thumb_64_belousovo.png","Калужская область","Малый город",2018
6,58,"Агрыз",52.9978375032251,56.5176892775966,19.8,6,"условно комфортный климат",37,26,20,28,21,30,162,"https://api.индекс-городов.рф/uploads/city/emblem/5/thumb_5_Agriz.png","Республика Татарстан","Малый город",2018
7,56,"Алдан",125.38391164918,58.6068479398297,20,6,"тяжелые климатические условия",24,26,16,17,21,23,127,"https://api.индекс-городов.рф/uploads/city/emblem/13/thumb_13_Aldan.png","Республика Саха (Якутия)","Малый город",2018
8,53,"Алупка",34.0432883873659,44.4182792485511,8.1,6,"условно комфортный климат",24,33,44,33,29,37,200,"https://api.индекс-городов.рф/uploads/city/emblem/19/thumb_19_Alupka.png","Республика Крым","Малый город",2018
9,9,"Бабаево",35.9384098295653,59.3951559156359,11.3,6,"условно комфортный климат",25,17,18,18,18,23,119,"https://api.индекс-городов.рф/uploads/city/emblem/40/thumb_40_babaevo.gif","Вологодская область","Малый город",2018
10,15,"Балтийск",19.9136947392285,54.6567321289753,33.6,5,"условно комфортный климат",36,30,22,24,27,16,155,"https://api.индекс-городов.рф/uploads/city/emblem/51/thumb_51_baltiysk.png","Калининградская область","Малый город",2018
11,44,"Благовещенск",55.9825021220217,55.0497572862671,35,5,"условно комфортный климат",35,25,51,16,19,33,179,"https://api.индекс-городов.рф/uploads/city/emblem/74/thumb_74_blagoveshensk.png","Республика Башкортостан","Малый город",2018
