"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name"
1142,149,"Аргун",45.8849424580782,43.2899189529315,39.3,12,"условно комфортный климат",34,23,12,16,18,27,130,"https://api.индекс-городов.рф/uploads/city/emblem/1142/thumb_28_Argun.png","Чеченская Республика","Малый город"
1157,103,"Багратионовск",20.6401718925426,54.3842310297235,6.4,13,"условно комфортный климат",34,39,23,34,14,26,170,"https://api.индекс-городов.рф/uploads/city/emblem/1157/thumb_43_bagrationovsk.gif","Калининградская область","Малый город"
1165,103,"Балтийск",19.9136947392285,54.6567321289753,33.7,12,"условно комфортный климат",36,33,28,23,28,31,179,"https://api.индекс-городов.рф/uploads/city/emblem/1165/thumb_51_baltiysk.png","Калининградская область","Малый город"
1182,144,"Беслан",44.5298033132503,43.1924343496651,37.4,12,"условно комфортный климат",25,27,22,18,30,33,155,"https://api.индекс-городов.рф/uploads/city/emblem/1182/thumb_68_beslan.png","Республика Северная Осетия - Алания","Малый город"
1184,168,"Билибино",166.449001932086,68.0624607516313,5.5,13,"тяжелые климатические условия",27,33,16,21,19,30,146,"https://api.индекс-городов.рф/uploads/city/emblem/1184/thumb_70_bilibino.png","Чукотский автономный округ","Малый город"
1212,120,"Валдай",33.2290881766644,57.9816126617872,14,13,"условно комфортный климат",34,40,39,31,28,31,203,"https://api.индекс-городов.рф/uploads/city/emblem/1212/thumb_98_Valday.png","Новгородская область","Малый город"
1240,116,"Высоковск",36.5561149005565,56.3158273371322,10.4,13,"условно комфортный климат",26,27,30,33,19,39,174,"https://api.индекс-городов.рф/uploads/city/emblem/1240/thumb_126_vysokovsk.gif","Московская область","Малый город"
1268,126,"Губаха",57.5728157511238,58.849345444662,19.1,13,"условно комфортный климат",34,34,18,16,29,30,161,"https://api.индекс-городов.рф/uploads/city/emblem/1268/thumb_154_gubakha.png","Пермский край","Малый город"
1296,96,"Дубовка",44.7908212201304,49.054052490773,13.7,13,"условно комфортный климат",37,31,29,12,20,38,167,"https://api.индекс-городов.рф/uploads/city/emblem/1296/thumb_182_Dubovka.png","Волгоградская область","Малый город"
1324,110,"Заозерный",94.7088236437021,55.954663712274,10.2,13,"условно комфортный климат",34,33,23,17,14,32,153,"https://api.индекс-городов.рф/uploads/city/emblem/1324/thumb_210_Zaozerny.png","Красноярский край","Малый город"
1345,158,"Изобильный",41.7105552984476,45.3600207987715,37.8,12,"условно комфортный климат",31,24,21,14,26,33,149,"https://api.индекс-городов.рф/uploads/city/emblem/1345/thumb_232_Izobilniy.png","Ставропольский край","Малый город"
1354,116,"Истра",36.857961913975,55.9113403261709,33.6,12,"условно комфортный климат",44,41,38,42,29,39,233,"https://api.индекс-городов.рф/uploads/city/emblem/1354/thumb_241_istra.png","Московская область","Малый город"
1373,134,"Карабулак",44.8826624034337,43.364452838142,42.7,12,"условно комфортный климат",35,20,8,10,12,32,117,"https://api.индекс-городов.рф/uploads/city/emblem/1373/thumb_260_Karabulak.png","Республика Ингушетия","Малый город"
1401,156,"Кировград",60.0888998774857,57.4227115926947,18.7,13,"условно комфортный климат",40,42,21,21,25,29,178,"https://api.индекс-городов.рф/uploads/city/emblem/1401/thumb_289_Kirovgrad.png","Свердловская область","Малый город"
1430,116,"Котельники",37.8647341902636,55.6548210569272,49,12,"условно комфортный климат",53,33,14,37,40,40,217,"https://api.индекс-городов.рф/uploads/city/emblem/1430/thumb_318_kotelniki.png","Московская область","Малый город"
1442,140,"Красноперекопск",33.8142217856523,45.9596378118415,24.9,12,"условно комфортный климат",24,30,29,16,20,30,149,"https://api.индекс-городов.рф/uploads/city/emblem/1442/thumb_330_krasnoperekopsk.png","Республика Крым","Малый город"
1458,109,"Курганинск",40.5901240523937,44.8906652787684,48.2,12,"условно комфортный климат",28,31,27,18,23,32,159,"https://api.индекс-городов.рф/uploads/city/emblem/1458/thumb_346_kurganinsk.png","Краснодарский край","Малый город"
1486,113,"Луга",29.8499674928673,58.7380325563626,34.6,12,"условно комфортный климат",34,29,38,37,30,31,199,"https://api.индекс-городов.рф/uploads/city/emblem/1486/thumb_374_luga.gif","Ленинградская область","Малый город"
1501,120,"Малая Вишера",32.2201001791356,58.8472339132876,10.3,13,"условно комфортный климат",27,37,17,24,23,29,157,"https://api.индекс-городов.рф/uploads/city/emblem/1501/thumb_389_malaya_vishera.png","Новгородская область","Малый город"
1517,91,"Мезень",44.2412711883369,65.8511733734285,3.2,14,"тяжелые климатические условия",14,23,33,27,16,31,144,"https://api.индекс-городов.рф/uploads/city/emblem/1517/thumb_405_mezen.png","Архангельская область","Малый город"
1528,156,"Михайловск",59.10578060064,56.4367733081442,8.8,13,"условно комфортный климат",29,47,15,23,23,40,177,"https://api.индекс-городов.рф/uploads/city/emblem/1528/thumb_416_mikhailovsk.png","Свердловская область","Малый город"
