"","id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name"
"1",3346,318,"Абаза",90.0946195742823,52.6346490370383,15,27,"условно комфортный климат",35,29,28,17,19,35,163,"https://api.индекс-городов.рф/uploads/city/emblem/3346/thumb_1_Abaza.png","Республика Хакасия","Малый город"
"2",3347,293,"Абдулино",53.6745983659175,53.6785240816437,18.6,27,"условно комфортный климат",33,19,12,22,18,39,143,"https://api.индекс-городов.рф/uploads/city/emblem/3347/thumb_2_Abdulino.png","Оренбургская область","Малый город"
"3",3348,279,"Абинск",38.1588368269625,44.8716435179201,39.1,26,"условно комфортный климат",29,21,18,24,23,34,149,"https://api.индекс-городов.рф/uploads/city/emblem/3348/thumb_3_Abinsk.jpg","Краснодарский край","Малый город"
"4",3349,301,"Агидель",53.9916610871737,55.8774800262861,14.2,27,"условно комфортный климат",35,46,29,25,29,37,201,"https://api.индекс-городов.рф/uploads/city/emblem/3349/thumb_4_Agidel.png","Республика Башкортостан","Малый город"
"5",3350,315,"Агрыз",52.9978375032251,56.5176892775966,19.7,27,"условно комфортный климат",38,33,23,22,22,36,174,"https://api.индекс-городов.рф/uploads/city/emblem/3350/thumb_5_Agriz.png","Республика Татарстан","Малый город"
"6",3351,299,"Адыгейск",39.1957551117335,44.8792240864622,12.7,27,"условно комфортный климат",50,31,24,24,24,30,183,"https://api.индекс-городов.рф/uploads/city/emblem/3351/thumb_6_Adygeysk.png","Республика Адыгея","Малый город"
"7",3352,315,"Азнакаево",53.0743040102009,54.862181688611,34.2,26,"условно комфортный климат",38,33,20,28,28,40,187,"https://api.индекс-городов.рф/uploads/city/emblem/3352/thumb_7_Aznakeevo.png","Республика Татарстан","Малый город"
"8",3353,316,"Ак-Довурак",90.5995641506441,51.1783375714835,13.6,27,"условно комфортный климат",28,16,10,29,12,31,126,"https://api.индекс-городов.рф/uploads/city/emblem/3353/thumb_8_Ak-Dovurak.png","Республика Тыва","Малый город"
"9",3354,321,"Аксай",39.8660296063055,47.2722651443168,46,26,"условно комфортный климат",50,32,24,33,23,41,203,"https://api.индекс-городов.рф/uploads/city/emblem/3354/thumb_9_Aksay.png","Ростовская область","Малый город"
"10",3355,314,"Алагир",44.2210946938396,43.0474023145295,19.7,27,"условно комфортный климат",25,24,19,18,23,25,134,NA,"Республика Северная Осетия - Алания","Малый город"
"11",3356,326,"Алапаевск",61.6763632930853,57.8267840385986,37.1,26,"условно комфортный климат",35,33,17,18,32,39,174,"https://api.индекс-городов.рф/uploads/city/emblem/3356/thumb_11_Alapaevsk.png","Свердловская область","Малый город"
"12",3357,320,"Алатырь",46.5799197558372,54.8426727563054,33.8,26,"условно комфортный климат",34,30,25,30,33,34,186,"https://api.индекс-городов.рф/uploads/city/emblem/3357/thumb_12_Alatyr.png","Чувашская Республика","Малый город"
"13",3358,313,"Алдан",125.38391164918,58.6068479398297,20.6,27,"тяжелые климатические условия",18,31,16,15,20,22,122,"https://api.индекс-городов.рф/uploads/city/emblem/3358/thumb_13_Aldan.png","Республика Саха (Якутия)","Малый город"
"14",3359,259,"Алейск",82.7726436039505,52.4930824193266,29,26,"условно комфортный климат",44,23,38,17,19,33,174,"https://api.индекс-городов.рф/uploads/city/emblem/3359/thumb_14_Aleysk.png","Алтайский край","Малый город"
"15",3360,296,"Александровск",57.5726464864071,59.165724068095,11.9,27,"условно комфортный климат",24,32,28,17,23,36,160,"https://api.индекс-городов.рф/uploads/city/emblem/3360/thumb_15_Aleksandrovsk.png","Пермский край","Малый город"
"16",3361,325,"Александровск-Сахалинский",142.161674881729,50.8936205984159,9.1,27,"тяжелые климатические условия",16,23,29,19,22,30,139,"https://api.индекс-городов.рф/uploads/city/emblem/3361/thumb_16_Aleksandrovsk-Sakhalinsky.png","Сахалинская область","Малый город"
"17",3362,263,"Алексеевка",38.6885170025982,50.6276450530444,37.8,26,"условно комфортный климат",36,27,18,28,34,33,176,"https://api.индекс-городов.рф/uploads/city/emblem/3362/thumb_17_Alekseevka.png","Белгородская область","Малый город"
"18",3363,272,"Алзамай",98.6601830877134,55.5473593252844,5.7,27,"условно комфортный климат",20,14,14,7,16,27,98,"https://api.индекс-городов.рф/uploads/city/emblem/3363/thumb_18_Alzamay.png","Иркутская область","Малый город"
"19",3364,310,"Алупка",34.0432883873659,44.4182792485511,8.1,27,"условно комфортный климат",33,42,42,34,25,42,218,"https://api.индекс-городов.рф/uploads/city/emblem/3364/thumb_19_Alupka.png","Республика Крым","Малый город"
"20",3365,310,"Алушта",34.401871960728,44.6745188658312,30.1,26,"условно комфортный климат",46,29,35,39,23,30,202,"https://api.индекс-городов.рф/uploads/city/emblem/3365/thumb_20_Alushta.png","Республика Крым","Малый город"
"21",3366,335,"Амурск",136.877106731159,50.2832044188446,38.9,26,"условно комфортный климат",42,30,31,14,25,36,178,"https://api.индекс-городов.рф/uploads/city/emblem/3366/thumb_21_Amursk.png","Хабаровский край","Малый город"
"22",3367,338,"Анадырь",177.416588025674,64.7196108620861,15.8,27,"тяжелые климатические условия",53,38,25,25,21,39,201,"https://api.индекс-городов.рф/uploads/city/emblem/3367/thumb_22_Anadyr.png","Чукотский автономный округ","Малый город"
"23",3368,330,"Андреаполь",32.2617516819589,56.650962479834,6.8,27,"условно комфортный климат",36,24,27,19,21,34,161,"https://api.индекс-городов.рф/uploads/city/emblem/3368/thumb_23_Andreapol.png","Тверская область","Малый город"
"24",3369,325,"Анива",142.525135374907,46.7203940675103,9.4,27,"условно комфортный климат",26,42,29,25,22,35,179,"https://api.индекс-городов.рф/uploads/city/emblem/3369/thumb_24_Aniva.png","Сахалинская область","Малый город"
"25",3370,286,"Апрелевка",37.0594715885242,55.5441803230307,30.7,26,"условно комфортный климат",42,33,22,34,24,37,192,"https://api.индекс-городов.рф/uploads/city/emblem/3370/thumb_25_Aprelevka.gif","Московская область","Малый город"
"26",3371,279,"Апшеронск",39.7271857714877,44.4543284634889,39.5,26,"условно комфортный климат",37,26,17,23,19,35,157,"https://api.индекс-городов.рф/uploads/city/emblem/3371/thumb_26_Apsheronsk.png","Краснодарский край","Малый город"
"27",3372,326,"Арамиль",60.8508957256104,56.6962960160575,15.4,27,"условно комфортный климат",37,46,11,27,29,29,179,"https://api.индекс-городов.рф/uploads/city/emblem/3372/thumb_27_Aramil.png","Свердловская область","Малый город"
"28",3373,319,"Аргун",45.8849424580782,43.2899189529315,39.3,26,"условно комфортный климат",30,26,13,14,19,29,131,"https://api.индекс-городов.рф/uploads/city/emblem/3373/thumb_28_Argun.png","Чеченская Республика","Малый город"
"29",3374,312,"Ардатов",46.2429759258021,54.8445242618771,8.3,27,"условно комфортный климат",20,28,18,26,20,36,148,"https://api.индекс-городов.рф/uploads/city/emblem/3374/thumb_29_Ardatov.gif","Республика Мордовия","Малый город"
"30",3375,314,"Ардон",44.2910587444304,43.1748906738394,19.3,27,"условно комфортный климат",39,30,11,16,21,33,150,NA,"Республика Северная Осетия - Алания","Малый город"
"31",3376,324,"Аркадак",43.5049415606086,51.929024370375,11.5,27,"условно комфортный климат",23,31,32,18,20,33,157,"https://api.индекс-городов.рф/uploads/city/emblem/3376/thumb_31_arkadak.png","Саратовская область","Малый город"
"32",3377,310,"Армянск",33.6933797253254,46.1133330799504,21.4,27,"условно комфортный климат",28,41,34,24,25,30,182,"https://api.индекс-городов.рф/uploads/city/emblem/3377/thumb_32_armyansk.png","Республика Крым","Малый город"
"33",3378,315,"Арск",49.8750758711751,56.0798981179924,20.4,27,"условно комфортный климат",33,33,19,27,23,43,178,"https://api.индекс-городов.рф/uploads/city/emblem/3378/thumb_33_Arsk.png","Республика Татарстан","Малый город"
"34",3379,280,"Артемовск",93.4352611958582,54.3467301612224,1.6,28,"условно комфортный климат",25,26,30,10,17,30,138,"https://api.индекс-городов.рф/uploads/city/emblem/3379/thumb_34_Artemovsk.png","Красноярский край","Малый город"
"35",3380,326,"Артемовский",61.9027623129467,57.3301426597932,30.1,26,"условно комфортный климат",35,39,24,19,25,38,180,"https://api.индекс-городов.рф/uploads/city/emblem/3380/thumb_35_artemovsky.png","Свердловская область","Малый город"
"36",3381,331,"Асино",86.1431697188653,56.9903080873578,24.3,27,"условно комфортный климат",26,27,21,15,28,35,152,"https://api.индекс-городов.рф/uploads/city/emblem/3381/thumb_36_asino.png","Томская область","Малый город"
"37",3382,324,"Аткарск",45.0015429840908,51.8760216015908,24.1,27,"условно комфортный климат",32,31,27,25,22,29,166,"https://api.индекс-городов.рф/uploads/city/emblem/3382/thumb_37_atkarsk.png","Саратовская область","Малый город"
"38",3383,262,"Ахтубинск",46.1723365791286,48.2800176582434,36.5,26,"условно комфортный климат",26,26,18,13,17,43,143,"https://api.индекс-городов.рф/uploads/city/emblem/3383/thumb_38_akhtubinsk.png","Астраханская область","Малый город"
"39",3384,337,"Аша",57.2490897359912,54.9963119484286,29.1,26,"условно комфортный климат",30,31,28,20,21,34,164,"https://api.индекс-городов.рф/uploads/city/emblem/3384/thumb_39_asha.png","Челябинская область","Малый город"
"40",3385,267,"Бабаево",35.9384098295653,59.3951559156359,11.4,27,"условно комфортный климат",28,30,22,22,23,23,148,"https://api.индекс-городов.рф/uploads/city/emblem/3385/thumb_40_babaevo.gif","Вологодская область","Малый город"
"41",3386,302,"Бабушкин",105.864831031252,51.7096095726426,4.5,28,"условно комфортный климат",24,29,32,11,21,32,149,"https://api.индекс-городов.рф/uploads/city/emblem/3386/thumb_41_babushkin.png","Республика Бурятия","Малый город"
"42",3387,315,"Бавлы",53.2680966671574,54.3998721741382,22.2,27,"условно комфортный климат",44,35,19,29,22,37,186,"https://api.индекс-городов.рф/uploads/city/emblem/3387/thumb_42_bavly.png","Республика Татарстан","Малый город"
"43",3388,273,"Багратионовск",20.6401718925426,54.3842310297235,6.4,27,"условно комфортный климат",34,40,24,32,18,30,178,"https://api.индекс-городов.рф/uploads/city/emblem/3388/thumb_43_bagrationovsk.gif","Калининградская область","Малый город"
